65,67,106
36,122,109
115,69,84
108,85,114
113,67,96
88,115,111
111,42,150
111,76,104
157,79,92
111,96,155
70,77,72
66,40,159
119,75,117
107,71,112
111,87,119
67,82,148
92,113,127
94,79,130
123,87,128
71,85,133
48,104,189
24,115,111
68,75,109
72,67,128
64,95,94
71,68,123
26,98,99
31,73,89
37,99,121
44,154,160
106,94,118
110,121,131
108,119,128
52,119,146
55,73,140
24,117,126
128,52,183
111,71,102
109,72,159
113,92,101
51,90,144
69,71,133
51,56,163
86,40,174
87,83,126
127,87,127
111,95,131
59,64,165
54,64,151
95,93,109
70,86,110
20,166,117
71,64,159
62,52,151
67,76,293
67,328,343
107,311,299
192,377,135
192,159,190
63,88,163
62,80,135
40,119,115
66,79,110
16,107,147
4,82,191
4,80,208
59,105,123
59,105,144
24,175,125
51,128,159
95,128,142
94,36,127
95,59,102
183,63,122
88,95,123
105,40,120
69,63,110
67,63,104
79,95,111
66,91,110
143,74,134
93,128,110
101,132,111
67,131,127
63,132,127
63,111,130
83,68,103
82,48,119
91,99,98
82,94,106
64,223,119
54,84,143
32,127,96
115,90,111
96,111,115
84,127,115
48,99,131
55,72,132
55,88,133
57,71,115
79,113,147
64,91,119
69,80,153
47,84,107
44,83,88
60,115,109
43,64,175
47,70,128
51,70,135
87,84,127
32,147,179
83,80,175
55,71,110
95,75,111
79,73,111
64,127,123
77,83,160
86,82,125
127,87,129
90,84,147
48,128,155
76,80,191
75,75,101
115,79,128
71,77,102
66,102,128
71,80,151
9,66,128
79,75,134
13,76,111
15,108,139
131,72,147
159,79,113
174,87,111
127,89,111
72,127,111
143,87,110
96,97,132
151,85,100
102,87,97
24,143,101
31,88,97
0,148,127
31,84,114
75,98,121
64,127,131
115,100,174
80,80,153
65,96,158
63,71,110
36,127,113
47,71,118
64,112,171
49,70,175
18,90,96
0,147,103
25,135,98
88,155,80
99,134,108
139,136,107
108,81,109
103,77,124
102,100,170
105,63,124
98,57,64
111,62,99
98,63,96
122,44,127
138,71,103
147,40,163
164,105,80
87,108,116
36,158,118
111,67,116
70,56,123
98,86,111
69,71,96
32,103,105
38,72,126
49,93,160
43,64,175
112,72,147
96,127,127
114,52,163
70,74,342
64,100,351
71,248,357
101,255,141
83,248,138
82,141,151
435,123,122
440,146,153
446,126,123
86,94,108
95,96,175
64,127,131
80,87,117
64,79,115
89,63,96
70,44,179
132,66,97
134,44,159
141,70,98
131,91,96
39,95,104
19,91,118
27,102,119
75,103,123
72,147,126
62,80,179
46,67,114
46,40,159
79,73,117
45,67,126
81,111,112
83,66,126
64,95,119
127,70,115
136,91,125
159,88,175
71,91,96
71,68,151
75,88,133
71,71,126
72,78,161
57,73,127
54,64,141
53,75,119
4,88,125
16,111,127
4,71,97
198,74,98
183,90,106
151,88,119
